year,direction,country,value_usd
2011,Exports,BRUNEI DARUSSALAM,3582
2011,Exports,SWAZILAND,3402
2011,Exports,COSTA RICA,3040
2011,Exports,TOKELAU,2800
2011,Exports,PERU,2640
2011,Exports,ANDORRA,700
2011,Exports,UKRAINE (UKRAINIAN S.S.R.),420
2011,Exports,BAHRAIN,316
2011,Exports,SLOVENIA,84
2011,Exports,LIECHTENSTEIN,63
2011,Exports,PAPUA NEW GUINEA,52
2011,Exports,"PAKISTAN, ISLAMIC REP. OF",50
2011,Imports,UNITED STATES,1494032743
2011,Imports,TAIWAN,771721616
2011,Imports,JAPAN,654167593
2011,Imports,"KOREA, REP. (SOUTH)",505220337
2011,Imports,SINGAPORE,481176231
2011,Imports,MALAYSIA,174478966
2011,Imports,CHINA,155380011
2011,Imports,FRANCE,115121577
2011,Imports,HONG KONG,100497378
2011,Imports,GERMANY,84081318
2011,Imports,THAILAND,65196363
2011,Imports,UNITED KINGDOM,36851386
2011,Imports,NETHERLANDS,32292021
2011,Imports,FINLAND,27270135
2011,Imports,NORWAY,12510263
2011,Imports,ITALY,2390883
2011,Imports,MEXICO,1847442
2011,Imports,MALTA,1758289
2011,Imports,AUSTRIA,1708217
2011,Imports,CZECH REPUBLIC,1537087
2011,Imports,BELGIUM,1230532
2011,Imports,SWITZERLAND,1210514
2011,Imports,IRELAND,1054420
2011,Imports,COSTA RICA,883579
2011,Imports,ROMANIA,852405
2011,Imports,VIETNAM,842665
2011,Imports,INDONESIA,833815
2011,Imports,ISRAEL,751923
2011,Imports,NEPAL,515144
2011,Imports,SWEDEN,485469
2011,Imports,INDIA,403699
2011,Imports,BULGARIA,260695
2011,Imports,CANADA,243997
2011,Imports,AUSTRALIA,214476
2011,Imports,"SOUTH AFRICA, REP. OF",201248
2011,Imports,BRAZIL,198339
2011,Imports,HUNGARY,186974
2011,Imports,MACAU,178371
2011,Imports,RUSSIA,153761
2011,Imports,DENMARK,98276
2011,Imports,NEW ZEALAND (EXCLUDES WESTERN SAMOA),64964
2011,Imports,LIECHTENSTEIN,59653
2011,Imports,UNITED ARAB EMIRATES,34166
2011,Imports,LUXEMBOURG,33022
2011,Imports,PORTUGAL,26769
2011,Imports,SPAIN,24851
2011,Imports,TUNISIA,13307
2011,Imports,BURUNDI,11224
2011,Imports,MOROCCO,8860
2011,Imports,SLOVENIA,7192
2011,Imports,NICARAGUA,6101
2011,Imports,MALAWI,2290
2011,Imports,BOSNIA AND HERZEGOVINA,1150
2011,Imports,POLAND,582
2012,Exports,SINGAPORE,2470147879
2012,Exports,HONG KONG,1908671584
2012,Exports,JAPAN,1068446386
2012,Exports,UNITED STATES,942711249
2012,Exports,TAIWAN,924259844
2012,Exports,CHINA,785095155
2012,Exports,"KOREA, REP. (SOUTH)",533336355
2012,Exports,NETHERLANDS,412801079
2012,Exports,GERMANY,370212584
2012,Exports,THAILAND,261521385
2012,Exports,MALAYSIA,225790288
2012,Exports,FRANCE,185703938
2012,Exports,AUSTRIA,61177514
2012,Exports,VIETNAM,48779494
2012,Exports,MEXICO,44955233
2012,Exports,INDIA,40947129
2012,Exports,ITALY,23948231
2012,Exports,CANADA,22584051
2012,Exports,SWITZERLAND,20295314
2012,Exports,HUNGARY,19389659
2012,Exports,BRAZIL,14234246
2012,Exports,INDONESIA,13422763
2012,Exports,SWEDEN,12846783
2012,Exports,UNITED KINGDOM,11111627
2012,Exports,BELGIUM,9169024
2012,Exports,ISRAEL,7422072
2012,Exports,COSTA RICA,7319640
2012,Exports,CZECH REPUBLIC,6250247
2012,Exports,BULGARIA,5497401
2012,Exports,POLAND,5225005
2012,Exports,AUSTRALIA,4328084
2012,Exports,MALTA,4032266
2012,Exports,ESTONIA,3140361
2012,Exports,NORWAY,2934853
2012,Exports,DENMARK,2103508
2012,Exports,TUNISIA,2074299
2012,Exports,"SOUTH AFRICA, REP. OF",1682272
2012,Exports,TURKEY,1630999
2012,Exports,ROMANIA,1201723
2012,Exports,SLOVAKIA,1073867
2012,Exports,COLOMBIA,1031318
2012,Exports,PORTUGAL,916927
2012,Exports,IRELAND,738900
2012,Exports,ARGENTINA,717545
2012,Exports,SENEGAL,615313
2012,Exports,SPAIN,485422
2012,Exports,FINLAND,425759
2012,Exports,PERU,417245
2012,Exports,RUSSIA,321041
2012,Exports,GREECE,268922
2012,Exports,NEW ZEALAND (EXCLUDES WESTERN SAMOA),191257
2012,Exports,"KOREA, DPR (NORTH)",174120
2012,Exports,NIGER,130735
2012,Exports,MALI (WEST AFRICA),126844
2012,Exports,AZORES,121614
2012,Exports,CHILE,99812
2012,Exports,SEYCHELLES REPUBLIC,93000
2012,Exports,HAITI,64710
2012,Exports,KAZAKHSTAN,63391
2012,Exports,VENEZUELA,57792
2012,Exports,SLOVENIA,57241
2012,Exports,LIECHTENSTEIN,53347
2012,Exports,UKRAINE,46280
2012,Exports,MAURITIUS,44100
2012,Exports,CANARY ISLANDS,37165
2012,Exports,URUGUAY,35243
2012,Exports,MOROCCO,34607
2012,Exports,LATVIA,33105
2012,Exports,"MOLDOVA, REPUBLIC OF",19799
2012,Exports,SWAZILAND,18088
2012,Exports,ECUADOR,13888
2012,Exports,BRITISH INDIAN OCEAN TERRITORY,8448
2012,Exports,EGYPT ARAB REPUBLIC,6973
2012,Exports,SAUDI ARABIA,4435
2012,Exports,NOT SPECIFIED,4074
2012,Exports,BOLIVIA,3527
2012,Exports,MACAU,2145
2012,Exports,SIERRA LEONE,1005
2012,Exports,GUYANA,550
2012,Exports,BAHRAIN,500
2012,Exports,UNITED ARAB EMIRATES,490
2012,Exports,SRI LANKA (CEYLON),391
2012,Exports,ANGOLA,268
2012,Exports,U.S. MINOR OUTLYING ISLANDS,257
2012,Exports,PAPUA NEW GUINEA,139
2012,Exports,ARMENIA,100
2012,Exports,IRAN,100
2012,Imports,UNITED STATES,1813954428
2012,Imports,TAIWAN,835948991
2012,Imports,JAPAN,773011591
2012,Imports,"KOREA, REP. (SOUTH)",565592252
2012,Imports,SINGAPORE,446989064
2012,Imports,CHINA,201497798
2012,Imports,MALAYSIA,182913992
2012,Imports,FRANCE,156019343
2012,Imports,GERMANY,95151834
2012,Imports,HONG KONG,73012113
2012,Imports,THAILAND,44523555
2012,Imports,UNITED KINGDOM,37954463
2012,Imports,NETHERLANDS,35455832
2012,Imports,FINLAND,28136395
2012,Imports,ITALY,20389629
2012,Imports,MEXICO,13531425
2012,Imports,NORWAY,9993087
2012,Imports,SWITZERLAND,4630691
2012,Imports,MALTA,2713399
2012,Imports,"TANZANIA, UNITED REP. OF",2314854
2012,Imports,INDONESIA,1410723
2012,Imports,BELGIUM,1343043
2012,Imports,IRELAND,1250542
2012,Imports,COSTA RICA,1157863
2012,Imports,VIETNAM,1062942
2012,Imports,CANADA,894759
2012,Imports,DENMARK,576222
2012,Imports,AUSTRIA,567090
2012,Imports,INDIA,539522
2012,Imports,SPAIN,360275
2012,Imports,SWEDEN,325416
2012,Imports,CZECH REPUBLIC,246639
2012,Imports,TURKEY,217237
2012,Imports,ISRAEL,174066
2012,Imports,GREECE,117335
2012,Imports,AUSTRALIA,103804
2012,Imports,"SOUTH AFRICA, REP. OF",76782
2012,Imports,ROMANIA,64940
2012,Imports,JORDAN,62858
