..Region IX  (ZAMBOANGA PENINSULA),Number of Holding/Farm Parcels,..Other Forms,4510,4418,14443,17013,16356,16881
..Region IX  (ZAMBOANGA PENINSULA),Area of Holding/Farm Parcels (in hectares),TOTAL,390161,500495,613069,675723,785294,448198
..Region IX  (ZAMBOANGA PENINSULA),Area of Holding/Farm Parcels (in hectares),..Owned  d/,234283,368365,447680,402955,506212,343299
..Region IX  (ZAMBOANGA PENINSULA),Area of Holding/Farm Parcels (in hectares),..Partly Owned  e/,55011,34560,29706,134091,157313,.
..Region IX  (ZAMBOANGA PENINSULA),Area of Holding/Farm Parcels (in hectares),..Tenanted,70927,71928,91693,132533,92214,79501
..Region IX  (ZAMBOANGA PENINSULA),Area of Holding/Farm Parcels (in hectares),..Leased,.,.,.,6000,7208,6866
..Region IX  (ZAMBOANGA PENINSULA),Area of Holding/Farm Parcels (in hectares),..Other Forms,36872,25643,43992,30082,20383,18532
..Region X  (NORTHERN MINDANAO),Number of Holding/Farm Parcels,TOTAL,107373,140539,208401,289468,319157,483792
..Region X  (NORTHERN MINDANAO),Number of Holding/Farm Parcels,..Owned  d/,59640,96370,135388,125736,142572,310277
..Region X  (NORTHERN MINDANAO),Number of Holding/Farm Parcels,..Partly Owned  e/,10585,7162,12048,74418,90989,.
..Region X  (NORTHERN MINDANAO),Number of Holding/Farm Parcels,..Tenanted,32564,29586,50281,55403,42080,68795
..Region X  (NORTHERN MINDANAO),Number of Holding/Farm Parcels,..Leased,.,.,.,6622,7530,22016
..Region X  (NORTHERN MINDANAO),Number of Holding/Farm Parcels,..Other Forms,4584,7421,10684,27289,35190,82704
..Region X  (NORTHERN MINDANAO),Area of Holding/Farm Parcels (in hectares),TOTAL,478299,571530,758642,768290,746901,565231
..Region X  (NORTHERN MINDANAO),Area of Holding/Farm Parcels (in hectares),..Owned  d/,298483,401876,548165,386153,348845,321129
..Region X  (NORTHERN MINDANAO),Area of Holding/Farm Parcels (in hectares),..Partly Owned  e/,60483,35129,52687,214207,239968,.
..Region X  (NORTHERN MINDANAO),Area of Holding/Farm Parcels (in hectares),..Tenanted,80201,83854,131317,102739,74938,80953
..Region X  (NORTHERN MINDANAO),Area of Holding/Farm Parcels (in hectares),..Leased,.,.,.,32593,32327,51985
..Region X  (NORTHERN MINDANAO),Area of Holding/Farm Parcels (in hectares),..Other Forms,39133,50670,26473,32685,48657,111164
..Region XI  (DAVAO REGION),Number of Holding/Farm Parcels,TOTAL,92243,113202,187711,267224,299966,401158
..Region XI  (DAVAO REGION),Number of Holding/Farm Parcels,..Owned  d/,50230,82975,137080,125878,174402,274333
..Region XI  (DAVAO REGION),Number of Holding/Farm Parcels,..Partly Owned  e/,4950,3242,3764,61577,62852,.
..Region XI  (DAVAO REGION),Number of Holding/Farm Parcels,..Tenanted,32615,21135,34064,42862,31561,32085
..Region XI  (DAVAO REGION),Number of Holding/Farm Parcels,..Leased,.,.,.,5499,5639,9455
..Region XI  (DAVAO REGION),Number of Holding/Farm Parcels,..Other Forms,4448,5850,12803,31407,24443,85285
..Region XI  (DAVAO REGION),Area of Holding/Farm Parcels (in hectares),TOTAL,460385,551413,746727,795893,758335,575559
..Region XI  (DAVAO REGION),Area of Holding/Farm Parcels (in hectares),..Owned  d/,320126,429147,587498,434901,462001,381038
..Region XI  (DAVAO REGION),Area of Holding/Farm Parcels (in hectares),..Partly Owned  e/,35062,20825,40942,192342,173756,.
..Region XI  (DAVAO REGION),Area of Holding/Farm Parcels (in hectares),..Tenanted,69453,55082,81338,91880,73856,55789
..Region XI  (DAVAO REGION),Area of Holding/Farm Parcels (in hectares),..Leased,.,.,.,14647,14974,33923
..Region XI  (DAVAO REGION),Area of Holding/Farm Parcels (in hectares),..Other Forms,35739,46360,36949,62124,30625,104809
..Region XII  (SOCCSKSARGEN),Number of Holding/Farm Parcels,TOTAL,75311,116053,169823,264095,330571,529518
..Region XII  (SOCCSKSARGEN),Number of Holding/Farm Parcels,..Owned  d/,44556,76503,104158,124069,171283,368361
..Region XII  (SOCCSKSARGEN),Number of Holding/Farm Parcels,..Partly Owned  e/,5484,7178,6827,71862,95356,.
..Region XII  (SOCCSKSARGEN),Number of Holding/Farm Parcels,..Tenanted,19813,29238,49190,48553,38702,72013
..Region XII  (SOCCSKSARGEN),Number of Holding/Farm Parcels,..Leased,.,.,.,7219,6212,20141
..Region XII  (SOCCSKSARGEN),Number of Holding/Farm Parcels,..Other Forms,5458,3134,9648,13392,18219,69003
..Region XII  (SOCCSKSARGEN),Area of Holding/Farm Parcels (in hectares),TOTAL,450826,591157,623648,746702,775309,638267
..Region XII  (SOCCSKSARGEN),Area of Holding/Farm Parcels (in hectares),..Owned  d/,286100,410096,450638,419743,421468,432060
..Region XII  (SOCCSKSARGEN),Area of Holding/Farm Parcels (in hectares),..Partly Owned  e/,40411,40409,28227,189998,228940,.
..Region XII  (SOCCSKSARGEN),Area of Holding/Farm Parcels (in hectares),..Tenanted,59043,83802,111370,86224,69063,90722
..Region XII  (SOCCSKSARGEN),Area of Holding/Farm Parcels (in hectares),..Leased,.,.,.,28290,23626,27194
..Region XII  (SOCCSKSARGEN),Area of Holding/Farm Parcels (in hectares),..Other Forms,65272,56850,33413,22448,30700,88292
..Region XIII (Caraga),Number of Holding/Farm Parcels,TOTAL,63367,79348,131990,189600,210184,256178
..Region XIII (Caraga),Number of Holding/Farm Parcels,..Owned  d/,44559,61886,90878,72020,89708,176799
..Region XIII (Caraga),Number of Holding/Farm Parcels,..Partly Owned  e/,6106,5607,10433,82213,82210,.
..Region XIII (Caraga),Number of Holding/Farm Parcels,..Tenanted,11466,10533,23698,16466,18689,42812
..Region XIII (Caraga),Number of Holding/Farm Parcels,..Leased,.,.,.,3143,4913,9127
..Region XIII (Caraga),Number of Holding/Farm Parcels,..Other Forms,1236,1322,6981,15758,14145,27440
..Region XIII (Caraga),Area of Holding/Farm Parcels (in hectares),TOTAL,283629,359750,483936,517446,523407,461389
..Region XIII (Caraga),Area of Holding/Farm Parcels (in hectares),..Owned  d/,216826,291753,360591,228120,231780,267277
..Region XIII (Caraga),Area of Holding/Farm Parcels (in hectares),..Partly Owned  e/,29961,28409,44232,214311,211346,.
..Region XIII (Caraga),Area of Holding/Farm Parcels (in hectares),..Tenanted,30840,32069,58486,35187,38295,59775
..Region XIII (Caraga),Area of Holding/Farm Parcels (in hectares),..Leased,.,.,.,21002,15403,82076
..Region XIII (Caraga),Area of Holding/Farm Parcels (in hectares),..Other Forms,6002,7519,20627,18826,25639,52260
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Number of Holding/Farm Parcels,TOTAL,103075,117882,152040,223605,248528,350561
