Sector,Year,January,February,March,April,May,June,July,August,September,October,November,December
Rice: NFA Stock,1988,371100.00,351600.00,344200.00,356200.00,353500.00,343200.00,320400.00,354400.00,342600.00,312200.00,312100.00,308400.00
Rice: NFA Stock,1989,297400.00,256300.00,205300.00,169800.00,136000.00,101200.00,104000.00,114000.00,125700.00,108200.00,84300.00,119600.00
Rice: NFA Stock,1990,155400.00,208900.00,200800.00,186400.00,229200.00,285600.00,333200.00,323600.00,314500.00,285600.00,315600.00,423800.00
Rice: NFA Stock,1991,469200.00,446200.00,438800.00,432900.00,446400.00,518200.00,534600.00,540900.00,530000.00,520400.00,523100.00,549800.00
Rice: NFA Stock,1992,629800.00,657200.00,684900.00,690600.00,699500.00,677300.00,634500.00,491300.00,386200.00,251600.00,211700.00,250700.00
Rice: NFA Stock,1993,329500.00,329900.00,330700.00,324100.00,319100.00,311300.00,289100.00,251600.00,207500.00,169600.00,182200.00,144200.00
Rice: NFA Stock,1994,131300.00,121700.00,112400.00,108700.00,102900.00,97000.00,96600.00,83800.00,72200.00,50000.00,38800.00,50600.00
Rice: NFA Stock,1995,52600.00,50500.00,46300.00,40200.00,36700.00,32900.00,27500.00,24400.00,43100.00,30900.00,65700.00,61800.00
Rice: NFA Stock,1996,77300.00,140600.00,178800.00,305400.00,443600.00,544800.00,525900.00,396300.00,318100.00,257700.00,286400.00,287100.00
Rice: NFA Stock,1997,311600.00,245500.00,240800.00,301700.00,485200.00,613400.00,740700.00,699000.00,603100.00,503600.00,446100.00,444600.00
Rice: NFA Stock,1998,443100.00,575700.00,685200.00,810500.00,880100.00,886700.00,929800.00,897200.00,911400.00,855600.00,859400.00,908200.00
Rice: NFA Stock,1999,909300.00,968600.00,1088700.00,1121300.00,1161100.00,1246100.00,1234100.00,1106100.00,950400.00,860700.00,820500.00,806900.00
Rice: NFA Stock,2000,726600.00,612200.00,552500.00,479300.00,497900.00,550100.00,506300.00,461900.00,358000.00,343900.00,402900.00,467800.00
Rice: NFA Stock,2001,461100.00,454600.00,506900.00,519100.00,576900.00,757100.00,813500.00,855900.00,791300.00,718600.00,697800.00,708300.00
Rice: NFA Stock,2002,685500.00,623300.00,573500.00,515200.00,495900.00,460700.00,442300.00,431400.00,423000.00,486600.00,725000.00,820900.00
Rice: NFA Stock,2003,718200.00,803800.00,738800.00,682200.00,643000.00,734900.00,655900.00,613800.00,574100.00,588500.00,587100.00,608600.00
Rice: NFA Stock,2004,624300.00,548800.00,521000.00,465900.00,519700.00,459200.00,350300.00,362200.00,403500.00,366900.00,346400.00,324400.00
Rice: NFA Stock,2005,248200.00,200500.00,240900.00,369900.00,510700.00,602500.00,532800.00,504000.00,475700.00,484900.00,470300.00,439000.00
Rice: NFA Stock,2006,338400.00,365900.00,381300.00,584100.00,749500.00,740200.00,694800.00,690500.00,723000.00,717400.00,605700.00,546900.00
Rice: NFA Stock,2007,455200.00,356700.00,274100.00,177300.00,256200.00,254000.00,292800.00,389300.00,308700.00,273700.00,295300.00,354700.00
Rice: NFA Stock,2008,351900.00,268500.00,285700.00,397600.00,587800.00,775700.00,908600.00,854600.00,872200.00,933400.00,966900.00,957300.00
