Geolocation,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023
Region IX (Zamboanga Peninsula),379428020.32,399109396.67,394821669.4,428106861.35,490181435.8,531738173.5,379428020.32,396878797.92,376299326,397862810.98,427670776.89,447320966.82
..Zamboanga del Norte,104783326.13,106871428.44,109441263.34,116781398.64,134000836.34,145530559.12,104783326.13,105473821.19,101941054.29,106957824.88,114579458.87,120226413.93
..Zamboanga del Sur,87572942.59,93280411.96,89716603.43,100479064.34,113923617.61,125052247.23,87572942.59,93830013.42,88717063.39,95372186.02,101501662.1,106626105.76
..Zamboanga Sibugay,51493102.11,54909658.24,53335554.14,59454144.31,69252626.52,75405111.77,51493102.11,55629779.46,52346269.84,55591208.1,60373094.92,63996642.3
..City of Isabela,10532512.93,11479967.24,11542336.67,11640953.93,13114570.59,14270610.4,10532512.93,11127371.64,10606992.61,10967631.72,11757001.67,12137564.87
..City of Zamboanga,125046136.55,132567930.79,130785911.81,139751300.13,159889784.75,171479644.98,125046136.55,130817812.2,122687945.86,128973960.26,139459559.33,144334239.96
Region X (Northern Mindanao),821122014.51,885223985.43,860415356.71,948892065.05,1070791029.11,1180098637.72,821122014.51,867432423.86,821433092.52,872805111.51,935273521.23,984750304.37
..Bukidnon,213689371.21,229061817.1,237981949.06,269422084.65,298256116.68,327009039.8,213689371.21,221302193.83,223890804.62,238225487.62,248733587.79,258305065.37
..Camiguin,10340735.66,11362519.57,10387391.59,11363189.21,13005535.67,14877906.99,10340735.66,11077030.22,9815732.23,10280706.07,11103915.49,12330709.77
..Lanao del Norte,57145176.26,60842189.47,58661983.44,63799482.47,69154032.46,73331379.91,57145176.26,59318748.54,56260362.09,58074909.68,59841585.53,61156729.14
..Misamis Occidental,107999593.75,116325788.95,111556378.15,119809392.75,134733720.04,150325203.42,107999593.75,114078708.63,106909158.68,111127262.82,119368816.13,127312227.28
..Misamis Oriental,145811439.9,158308309.04,145264836.74,154834386.71,178815706.85,199342684.6,145811439.9,156989698.52,138822217.42,144303480.19,157431162.49,167352577.16
..City of Cagayan de Oro,220999686.41,242304134.18,225479421.08,252633841.52,289774927.26,320138717.06,220999686.41,239271613.57,218268538.84,239193527.7,261782650.12,276855661.2
..City of Iligan,65136011.32,67019227.12,71083396.65,77029687.74,87050990.14,95073705.95,65136011.32,65394430.54,67466278.64,71599737.44,77011803.66,81437334.44
Region XI (Davao Region),841429224.96,922613762.57,890607548.48,967140486.64,1096004125,1255053913.66,841429224.96,900885668.02,833225496.35,882189256.43,954232421.39,1018200794.86
..Davao de Oro,82724623.32,88116698.2,93079565.43,99411859.54,110762421.98,130967441.27,82724623.32,85152421.88,81694623.41,87759446.63,93104640.17,98788432.84
..Davao del Norte,151081411.82,163041487.99,168286197.2,184067581.11,201314497.38,237339629.42,151081411.82,157489396.57,150470168.02,158091992.28,168662146.28,178718062.09
..Davao del Sur,96830163.12,104234355.79,99592061.29,108534921.89,122819725.6,137670246,96830163.12,100413195.26,91604034.17,96669293.6,103709278.12,110456770.96
..Davao Occidental,32814729.78,34722309.23,35566998.11,38740714.47,43463409.6,47332822.4,32814729.78,33939127.61,33274383.49,35406989.14,37907219.94,39671003.22
..Davao Oriental,46185091.97,49496466.21,49605268.98,54379595.51,63389015.63,69617987.14,46185091.97,48901192.79,47220183.31,49389595.42,55452204.73,58021865.17
..City of Davao,431793204.95,483002445.15,444477457.48,482005814.13,554255054.8,632125787.43,431793204.95,474990333.91,428962103.95,454871939.35,495396932.15,532544660.6
Region XII (SOCCSKSARGEN),454304548.68,474892618,467334770.58,503888631.03,564300354.62,620379069,454304548.68,469982193.22,449247792.06,472510817.82,503656062.81,521184984.04
