Country,1991 Total Trade,1991 Imports,1991 Exports,1991 Balance of Trade,1992 Total Trade,1992 Imports,1992 Exports,1992 Balance of Trade,1993 Total Trade,1993 Imports,1993 Exports,1993 Balance of Trade,1994 Total Trade,1994 Imports,1994 Exports,1994 Balance of Trade,1995 Total Trade,1995 Imports,1995 Exports,1995 Balance of Trade,1996 Total Trade,1996 Imports,1996 Exports,1996 Balance of Trade,1997 Total Trade,1997 Imports,1997 Exports,1997 Balance of Trade,1998 Total Trade,1998 Imports,1998 Exports,1998 Balance of Trade,1999 Total Trade,1999 Imports,1999 Exports,1999 Balance of Trade,2000 Total Trade,2000 Imports,2000 Exports,2000 Balance of Trade,2001 Total Trade,2001 Imports,2001 Exports,2001 Balance of Trade,2002 Total Trade,2002 Imports,2002 Exports,2002 Balance of Trade,2003 Total Trade,2003 Imports,2003 Exports,2003 Balance of Trade,2004 Total Trade,2004 Imports,2004 Exports,2004 Balance of Trade,2005 Total Trade,2005 Imports,2005 Exports,2005 Balance of Trade,2006 Total Trade,2006 Imports,2006 Exports,2006 Balance of Trade,2007 Total Trade,2007 Imports,2007 Exports,2007 Balance of Trade,2008 Total Trade,2008 Imports,2008 Exports,2008 Balance of Trade,2009 Total Trade,2009 Imports,2009 Exports,2009 Balance of Trade,2010 Total Trade,2010 Imports,2010 Exports,2010 Balance of Trade,2011 Total Trade,2011 Imports,2011 Exports,2011 Balance of Trade,2012 Total Trade,2012 Imports,2012 Exports,2012 Balance of Trade,2013 Total Trade,2013 Imports,2013 Exports,2013 Balance of Trade,2014 Total Trade,2014 Imports,2014 Exports,2014 Balance of Trade,2015 Total Trade,2015 Imports,2015 Exports,2015 Balance of Trade,2016 Total Trade,2016 Imports,2016 Exports,2016 Balance of Trade,2017 Total Trade,2017 Imports,2017 Exports,2017 Balance of Trade,2018 Total Trade,2018 Imports,2018 Exports,2018 Balance of Trade,2019 Total Trade,2019 Imports,2019 Exports,2019 Balance of Trade,2020 Total Trade,2020 Imports,2020 Exports,2020 Balance of Trade,2021 Total Trade,2021 Imports,2021 Exports,2021 Balance of Trade,2022 Total Trade,2022 Imports,2022 Exports,2022 Balance of Trade,2023 Total Trade,2023 Imports,2023 Exports,2023 Balance of Trade,2024 Total Trade,2024 Imports,2024 Exports,2024 Balance of Trade,2025R Total Trade,2025R Imports,2025R Exports,2025R Balance of Trade,2026P Total Trade,2026P Imports,2026P Exports,2026P Balance of Trade
"Maldives, Rep. of",14000,0,14000,14000,27451,0,27451,27451,27327,0,27327,27327,61140,0,61140,61140,61012,0,61012,61012,204381,0,204381,204381,86552,0,86552,86552,37186,0,37186,37186,258218,72376,185842,113466,1088482,50051,1038431,988380,353367,38123,315244,277121,495818,233813,262005,28192,1006887,462921,543966,81045,1133362,344651,788711,444060,1033138,345997,687141,341144,1144622,327523,817099,489576,1586074,222769,1363305,1140536,1517042,181173,1335869,1154696,1337812,189090,1148722,959632,11201165,9708928,1492237,-8216691,1522073,223517,1298556,1075039,2187556,286407,1901149,1614742,1079672,247158,832514,585356,1516010,55455,1460555,1405100,1474104,106890,1367214,1260324,8005650,164652,7840998,7676346,2709391,318708,2390683,2071975,2329630,525539,1804091,1278552,2282151,299995,1982156,1682161,1166507,185485,981022,795537,1485494,320168,1165326,845158,16007155,369273,15637882,15268609,17853288,1209660,16643628,15433968,8095985,470938,7625047,7154109,1806848,319976,1486872,1166896,1496180,350,1495830,1495480
Mali (West Africa),200,0,200,200,240,0,240,240,0,0,0,0,771338,742828,28510,-714318,270144,181350,88794,-92556,2357130,2172022,185108,-1986914,6012931,5968559,44372,-5924187,1219773,1199014,20759,-1178255,4273641,4094621,179020,-3915601,2414248,2145012,269236,-1875776,1681049,180134,1500915,1320781,1738080,1335204,402876,-932328,2549790,1662818,886972,-775846,1831529,527296,1304233,776937,8030,8030,0,-8030,419263,90481,328782,238301,396792,0,396792,396792,5373,5373,0,-5373,0,0,0,0,897191,608,896583,895975,4226660,0,4226660,4226660,839454,675,838779,838104,157756,1339,156417,155078,47721,347,47374,47027,44512,27948,16564,-11384,115646,12132,103514,91382,1574187,9058,1565129,1556071,501277,180819,320458,139639,1108199,1501,1106698,1105197,536415,0,536415,536415,178311,768,177543,176775,231171,52971,178200,125229,167854,89243,78611,-10632,45049,24194,20855,-3339,139585,109675,29910,-79765,20120,127,19993,19866
Malta,1140676,7747,1132929,1125182,6433157,602043,5831114,5229071,1899948,500,1899448,1898948,2228850,369,2228481,2228112,664874,154154,510720,356566,3697854,975348,2722506,1747158,526407,21175,505232,484057,945882,82380,863502,781122,8735337,7837508,897829,-6939679,3707803,2896166,811637,-2084529,1793638,1294096,499542,-794554,11476810,1154500,10322310,9167810,22420573,1312136,21108437,19796301,33511715,1460954,32050761,30589807,19744620,351210,19393410,19042200,23758261,677078,23081183,22404105,22441761,295642,22146119,21850477,16157845,20477,16137368,16116891,6027342,59262,5968080,5908818,13382776,151850,13230926,13079076,15219240,3659847,11559393,7899546,33078382,3058920,30019462,26960542,32851819,3249099,29602720,26353621,27469378,10838692,16630686,5791994,258201158,6300015,251901143,245601128,181389753,13511769,167877984,154366215,691654888,5587118,686067770,680480652,44313178,26084832,18228346,-7856486,46387350,24603782,21783568,-2820214,90879275,69153546,21725729,-47427817,102570186,55446134,47124052,-8322082,52202167,12183903,40018264,27834361,35738631,3002148,32736483,29734335,49746265,11573184,38173081,26599897,132907922,91837988,41069934,-50768054,21438741,10785308,10653433,-131875
"Marshall Islands, Rep. of",134232,0,134232,134232,130726,0,130726,130726,237875,0,237875,237875,1173074,0,1173074,1173074,291424,0,291424,291424,271741,0,271741,271741,285538,0,285538,285538,134658,315,134343,134028,1739002,1285200,453802,-831398,1443998,900000,543998,-356002,2648160,2036000,612160,-1423840,2936966,2379000,557966,-1821034,2317837,1800000,517837,-1282163,977615,0,977615,977615,7081231,2925000,4156231,1231231,3740920,1307051,2433869,1126818,11638943,250095,11388848,11138753,74808561,10964336,63844225,52879889,299003326,2991781,296011545,293019764,204880961,1481010,203399951,201918941,140102768,2922059,137180709,134258650,2374010,802728,1571282,768554,2524542,1577444,947098,-630346,262886063,1423458,261462605,260039147,259021026,2261674,256759352,254497678,7230882,5582212,1648670,-3933542,5566030,3020084,2545946,-474138,103586666,5063161,98523505,93460344,11037395,7845794,3191601,-4654193,7826320,5090909,2735411,-2355498,12577487,10316939,2260548,-8056391,6128932,3117721,3011211,-106510,36039175,32444387,3594788,-28849599,13064090,6992985,6071105,-921880,454693363,450814610,3878753,-446935857,2750056,1347405,1402651,55246
Martinique,128559,0,128559,128559,156924,0,156924,156924,77471,0,77471,77471,47013,0,47013,47013,435,0,435,435,75295,0,75295,75295,25812,0,25812,25812,26756,0,26756,26756,14538,0,14538,14538,25650,0,25650,25650,29558,0,29558,29558,50259,0,50259,50259,194853,0,194853,194853,13000,0,13000,13000,23075,0,23075,23075,80090,0,80090,80090,120583,0,120583,120583,8804,0,8804,8804,188483,0,188483,188483,294342,0,294342,294342,524009,0,524009,524009,477500,0,477500,477500,138567,0,138567,138567,2756,0,2756,2756,11447,0,11447,11447,8001,0,8001,8001,174307,0,174307,174307,193939,0,193939,193939,209597,98,209499,209401,180832,0,180832,180832,69473,300,69173,68873,224456,690,223766,223076,111749,0,111749,111749,100427,0,100427,100427,1224,0,1224,1224,2554,0,2554,2554
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2873,0,2873,2873,270,0,270,270,0,0,0,0,3478105,3475967,2138,-3473829,1976755,1976755,0,-1976755,7291,0,7291,7291,4342131,4341281,850,-4340431,1121961,1114002,7959,-1106043,154551,147932,6619,-141313,0,0,0,0,700000,0,700000,700000,133100,0,133100,133100,592999,0,592999,592999,0,0,0,0,0,0,0,0,47630,0,47630,47630,2545,0,2545,2545,5370,1962,3408,1446,12796,0,12796,12796,2008,0,2008,2008,3025,0,3025,3025,0,0,0,0,0,0,0,0,25,0,25,25,19506,0,19506,19506,0,0,0,0,0,0,0,0,3844,3844,0,-3844,3337,3337,0,-3337,3757922,3743135,14787,-3728348,1992,1992,0,-1992
Mauritius,1012648,0,1012648,1012648,1115188,0,1115188,1115188,4136315,0,4136315,4136315,925255,21237,904018,882781,3512382,350,3512032,3511682,5511139,322691,5188448,4865757,2700472,377151,2323321,1946170,1403531,585608,817923,232315,1713564,176712,1536852,1360140,930517,255038,675479,420441,1265206,374,1264832,1264458,2843257,55044,2788213,2733169,5666198,82587,5583611,5501024,13536545,62321,13474224,13411903,12397438,1477181,10920257,9443076,10986147,17286,10968861,10951575,1526849,161521,1365328,1203807,19761270,11149878,8611392,-2538486,2673921,594684,2079237,1484553,1595472,271270,1324202,1052932,2264360,386927,1877433,1490506,1287852,219248,1068604,849356,1938519,916236,1022283,106047,5814497,912101,4902396,3990295,2116340,1025158,1091182,66024,4077516,1214105,2863411,1649306,1601763,246370,1355393,1109023,10561973,9021949,1540024,-7481925,35715198,34047808,1667390,-32380418,15258109,13857438,1400671,-12456767,11026500,10011530,1014970,-8996560,17867492,16809807,1057685,-15752122,8777496,7118572,1658924,-5459648,7364068,5360799,2003269,-3357530,4101460,1223948,2877512,1653564,667282,19912,647370,627458
Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12745,12745,0,-12745,0,0,0,0,0,0,0,0,13976,0,13976,13976,4959,4959,0,-4959,6583,0,6583,6583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17590,0,17590,17590,51342,0,51342,51342,0,0,0,0,2086,0,2086,2086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,20507175,7294437,13212738,5918301,28450639,7125170,21325469,14200299,41294530,6269514,35025016,28755502,59506502,19631024,39875478,20244454,87844485,49185051,38659434,-10525617,111288885,75303728,35985157,-39318571,79781104,40366939,39414165,-952774,94960656,27732532,67228124,39495592,146558961,27526213,119032748,91506535,311577716,26995503,284582213,257586710,190136280,27478679,162657601,135178922,325532958,23649250,301883708,278234458,128625730,17848316,110777414,92929098,155103408,21182950,133920458,112737508,157379110,32234430,125144680,92910250,187008765,43370601,143638164,100267563,223675823,62777180,160898643,98121463,235497487,61807031,173690456,111883425,178655247,45162620,133492627,88330007,314357655,44978840,269378815,224399975,380346968,43669418,336677550,293008132,297223845,72060579,225163266,153102687,349088385,99665529,249422856,149757327,486614793,75059699,411555094,336495395,507837808,94194913,413642895,319447982,651615590,102776481,548839109,446062628,755715079,129201126,626513953,497312827,756869454,143724090,613145364,469421274,846402883,174136507,672266376,498129869,660017168,107408640,552608528,445199888,927251785,217436885,709814900,492378015,1143482941,262850247,880632694,617782447,1259348438,352638834,906709604,554070770,1284907009,403360373,881546636,478186263,1431454981,288293121,1143161860,854868739,492852999,89143213,403709786,314566573
"Micronesia, Federated States of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227124,0,227124,227124,727257,0,727257,727257,682875,5072,677803,672731,1950302,810000,1140302,330302,1348050,0,1348050,1348050,1491480,0,1491480,1491480,2340093,600000,1740093,1140093,4468534,1797219,2671315,874096,3413714,885641,2528073,1642432,6422010,3125203,3296807,171604,7749035,3405317,4343718,938401,2941387,243144,2698243,2455099,3349309,214591,3134718,2920127,2999523,192059,2807464,2615405,4360426,983138,3377288,2394150,6436655,891472,5545183,4653711,3893075,45040,3848035,3802995,6481617,994825,5486792,4491967,8282363,1500733,6781630,5280897,5611977,1490,5610487,5608997,6939253,377628,6561625,6183997,15591022,7531698,8059324,527626,19910208,13618362,6291846,-7326516,10328043,3103073,7224970,4121897,21754357,15734382,6019975,-9714407,10831751,6967843,3863908,-3103935,28313252,22218160,6095092,-16123068,23507083,18175702,5331381,-12844321,20205444,12999934,7205510,-5794424,29062813,20325352,8737461,-11587891,7885325,5362200,2523125,-2839075
Midway Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6980,6980,0,-6980,15134,15134,0,-15134,0,0,0,0,8287,8287,0,-8287,93492,93492,0,-93492,628,628,0,-628,0,0,0,0,109690,3623,106067,102444,321263,10262,311001,300739,175116,12533,162583,150050,0,0,0,0,3832,3800,32,-3768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3304,3304,0,-3304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21613,0,21613,21613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moldova, Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964,1964,0,-1964,0,0,0,0,0,0,0,0,4570,0,4570,4570,348790,347140,1650,-345490,37235,0,37235,37235,0,0,0,0,2232,0,2232,2232,80074,0,80074,80074,33173,0,33173,33173,5714,0,5714,5714,87231,54551,32680,-21871,1683,0,1683,1683,79271,917,78354,77437,1906694,1755915,150779,-1605136,385956,385753,203,-385550,1009256,897659,111597,-786062,37636,1498,36138,34640,113083,56656,56427,-229,1064510,1035179,29331,-1005848,1704552,1553621,150931,-1402690,1037502,924921,112581,-812340,409024,302091,106933,-195158,1050705,700508,350197,-350311,733795,694241,39554,-654687,618625,577071,41554,-535517,330157,224597,105560,-119037,110532,97124,13408,-83716
Monaco,37985,0,37985,37985,30171,0,30171,30171,68010,0,68010,68010,101595,0,101595,101595,217337,36231,181106,144875,542494,0,542494,542494,495283,43482,451801,408319,129552,9578,119974,110396,166586,126012,40574,-85438,512545,512545,0,-512545,430726,73337,357389,284052,384961,54094,330867,276773,89750,30980,58770,27790,19705,12261,7444,-4817,65553,55640,9913,-45727,113367,74914,38453,-36461,165744,96130,69614,-26516,40160,34691,5469,-29222,62639,19274,43365,24091,483429,85064,398365,313301,556135,283610,272525,-11085,516453,8163,508290,500127,131653,72,131581,131509,137415,0,137415,137415,65230,894,64336,63442,106162,46933,59229,12296,70170,70170,0,-70170,46269,46269,0,-46269,73368,48560,24808,-23752,43870,43870,0,-43870,57124,57124,0,-57124,182006,177015,4991,-172024,347647,347510,137,-347373,163772,155303,8469,-146834,239034,237583,1451,-236132,4001,3487,514,-2973
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,789044,773241,15803,-757438,23779,457,23322,22865,68814,8560,60254,51694,699,0,699,699,19851,0,19851,19851,23116,0,23116,23116,2572,0,2572,2572,17957,0,17957,17957,73280,0,73280,73280,203077,1826,201251,199425,172854,0,172854,172854,785495,1606,783889,782283,257864,207,257657,257450,439572,489,439083,438594,521663,1543,520120,518577,1366103,92574,1273529,1180955,475875,1351,474524,473173,794912,233,794679,794446,909939,99283,810656,711373,1299997,763,1299234,1298471,2259193,23501,2235692,2212191,1936672,280780,1655892,1375112,2931352,114612,2816740,2702128,1978248,2396,1975852,1973456,3934599,1373669,2560930,1187261,2356940,15069,2341871,2326802,2226009,235667,1990342,1754675,2780046,371520,2408526,2037006,2830151,421060,2409091,1988031,3310749,211514,3099235,2887721,2296995,14068,2282927,2268859,1864728,2710,1862018,1859308,712016,551,711465,710914
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11892739,8392739,3500000,-4892739,10614987,10595708,19279,-10576429,466,0,466,466,25143,0,25143,25143,47821,0,47821,47821,33771,0,33771,33771,750,0,750,750,771,0,771,771,0,0,0,0,0,0,0,0,65195,0,65195,65195,248389,0,248389,248389,132294,699,131595,130896,138972,38750,100222,61472,514,478,36,-442
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18657,6274,12383,6109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3380,0,3380,3380,0,0,0,0,0,0,0,0,761,0,761,761,0,0,0,0,0,0,0,0,1605,0,1605,1605,18678,18678,0,-18678,63360,0,63360,63360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,330,0,-330,0,0,0,0,341,132,209,77,0,0,0,0,25,25,0,-25,16450,16450,0,-16450,143,143,0,-143,25735,25735,0,-25735,590,259,331,72
Morocco,244585,40614,203971,163357,6466656,5667772,798884,-4868888,312475,31333,281142,249809,612053,158925,453128,294203,3934835,3625953,308882,-3317071,1647495,1137901,509594,-628307,4669027,3969034,699993,-3269041,1104856,295163,809693,514530,1467041,625110,841931,216821,2353002,1818701,534301,-1284400,4934403,357565,4576838,4219273,11456464,2181417,9275047,7093630,12919853,169351,12750502,12581151,9984362,677139,9307223,8630084,7794132,2519025,5275107,2756082,6370932,4671266,1699666,-2971600,1747999,362452,1385547,1023095,1702827,339373,1363454,1024081,1486555,363019,1123536,760517,4352744,1205937,3146807,1940870,4914226,649525,4264701,3615176,23037778,18690626,4347152,-14343474,31905267,24420345,7484922,-16935423,9268884,2148221,7120663,4972442,14582768,3925621,10657147,6731526,14971130,1918449,13052681,11134232,16004857,1561625,14443232,12881607,14057314,1902053,12155261,10253208,22036275,9125511,12910764,3785253,22675659,8606560,14069099,5462539,28869669,15672092,13197577,-2474515,30959486,16491649,14467837,-2023812,44529899,27352929,17176970,-10175959,59527563,45362657,14164906,-31197751,58888486,42834419,16054067,-26780352,10502856,6087839,4415017,-1672822
Mozambique,21279636,11503576,9776060,-1727516,20437924,16956112,3481812,-13474300,7288026,7001927,286099,-6715828,446323,414885,31438,-383447,748881,272033,476848,204815,159454,83566,75888,-7678,302551,67596,234955,167359,329235,157672,171563,13891,305300,11968,293332,281364,1289043,559884,729159,169275,2493071,1034013,1459058,425045,531599,180457,351142,170685,1388466,653625,734841,81216,55531,3531,52000,48469,762665,215864,546801,330937,1226304,1062136,164168,-897968,237470,121089,116381,-4708,179794,37683,142111,104428,5624197,5354824,269373,-5085451,7837606,7293192,544414,-6748778,5519854,4846889,672965,-4173924,4731335,4413021,318314,-4094707,3147414,1824542,1322872,-501670,3184304,2710985,473319,-2237666,5105822,4404323,701499,-3702824,3674725,3348056,326669,-3021387,677000,656772,20228,-636544,2139522,1962162,177360,-1784802,2791043,2411628,379415,-2032213,1082889,981503,101386,-880117,1118769,1035313,83456,-951857,24128155,24101152,27003,-24074149,1345325,1285224,60101,-1225123,2385556,2147567,237989,-1909578,29447337,27816268,1631069,-26185199,4728919,4645451,83468,-4561983
Namibia,159,0,159,159,3264,0,3264,3264,0,0,0,0,39659,509,39150,38641,21890,19650,2240,-17410,65941,44717,21224,-23493,162440,140589,21851,-118738,150645,80641,70004,-10637,77379,3048,74331,71283,222384,43401,178983,135582,164766,153225,11541,-141684,752532,179629,572903,393274,142422,41228,101194,59966,220207,220107,100,-220007,7503,7503,0,-7503,1660,1660,0,-1660,0,0,0,0,41226,21882,19344,-2538,47199,13705,33494,19789,378210,5408,372802,367394,449138,0,449138,449138,742462,0,742462,742462,422935,395470,27465,-368005,54278,22412,31866,9454,710,604,106,-498,166,0,166,166,1386,0,1386,1386,1226,0,1226,1226,31351,0,31351,31351,167877,0,167877,167877,91423,0,91423,91423,1450,0,1450,1450,124747,0,124747,124747,81349,0,81349,81349,70368,0,70368,70368,4795,0,4795,4795
"Nauru, Rep. of",4109184,3902400,206784,-3695616,120795,0,120795,120795,117977,0,117977,117977,174371,0,174371,174371,92964,0,92964,92964,212225,17362,194863,177501,8224,0,8224,8224,995235,990000,5235,-984765,4632870,4612137,20733,-4591404,511866,397400,114466,-282934,22499,0,22499,22499,40524,622,39902,39280,86437,49413,37024,-12389,14809,1113,13696,12583,0,0,0,0,6112,0,6112,6112,887368,881942,5426,-876516,4350,0,4350,4350,0,0,0,0,0,0,0,0,31612,0,31612,31612,0,0,0,0,33060,500,32560,32060,118754,295,118459,118164,10898,2233,8665,6432,222636,222636,0,-222636,0,0,0,0,9690,783,8907,8124,2876939,2876939,0,-2876939,25627575,25594800,32775,-25562025,23591866,22117800,1474066,-20643734,40586079,39658055,928024,-38730031,20437638,20209897,227741,-19982156,8538032,8482753,55279,-8427474,12140287,10264563,1875724,-8388839,1667294,1516867,150427,-1366440
Nepal,114916,0,114916,114916,2122,0,2122,2122,17276,0,17276,17276,12154,5349,6805,1456,330752,188668,142084,-46584,378468,27064,351404,324340,1724072,994898,729174,-265724,2475927,48429,2427498,2379069,929503,419610,509893,90283,1449917,219540,1230377,1010837,650258,211582,438676,227094,756366,158178,598188,440010,2454209,240074,2214135,1974061,874290,13052,861238,848186,348621,138571,210050,71479,1362926,897009,465917,-431092,3254319,1928919,1325400,-603519,4580849,3506510,1074339,-2432171,2085308,833033,1252275,419242,3367210,685627,2681583,1995956,3421511,1632443,1789068,156625,2174363,991922,1182441,190519,1464397,7539,1456858,1449319,2858033,243393,2614640,2371247,1655181,14406,1640775,1626369,1741573,65700,1675873,1610173,1360628,44763,1315865,1271102,1537815,51545,1486270,1434725,1530059,8531,1521528,1512997,919085,527,918558,918031,1887448,65831,1821617,1755786,1531810,64298,1467512,1403214,2723521,129295,2594226,2464931,1654349,197817,1456532,1258715,1252190,373904,878286,504382,236657,46901,189756,142855
Netherlands,482591745,144175824,338415921,194240097,586616441,180354318,406262123,225907805,598987021,237140019,361847002,124706983,795031717,278913140,516118577,237205437,1123303057,318212055,805091002,486878947,1445399019,330796933,1114602086,783805153,2208071166,544601361,1663469805,1118868444,2538381149,219173852,2319207297,2100033445,3111076709,246467589,2864609120,2618141531,3307721448,325264085,2982457363,2657193278,3222414241,246061967,2976352274,2730290307,3291705987,236800964,3054905023,2818104059,3239529147,317815417,2921713730,2603898313,3973159866,390210082,3582949784,3192739702,4440024331,407380178,4032644153,3625263975,5178662814,409467697,4769195117,4359727420,4613685905,464163592,4149522313,3685358721,4126321587,417947622,3708373965,3290426343,4043621733,300097803,3743523930,3443426127,2706955517,277428622,2429526895,2152098273,2057729317,312778775,1744950542,1432171767,1856565006,302204253,1554360753,1252156500,2041712224,293191331,1748520893,1455329562,2251008163,374558927,1876449236,1501890309,2269286229,429849678,1839436551,1409586873,2258554548,515229600,1743324948,1228095348,3137018062,619474240,2517543822,1898069582,3117893760,627408155,2490485605,1863077450,2907920049,641867425,2266052624,1624185199,2469023944,549302428,1919721516,1370419088,2826631784,570800108,2255831676,1685031568,3722137664,786537864,2935599800,2149061936,3648959452,560373167,3088586285,2528213118,3382062867,514143258,2867919609,2353776351,4094166430,496918824,3597247606,3100328782,1431272280,174698892,1256573388,1081874496
Netherlands Antilles,13059360,0,13059360,13059360,23829975,0,23829975,23829975,11872795,0,11872795,11872795,13412596,0,13412596,13412596,18353834,0,18353834,18353834,5972633,0,5972633,5972633,2188358,0,2188358,2188358,456156,0,456156,456156,1662610,1004281,658329,-345952,1015625,741287,274338,-466949,752792,138768,614024,475256,396699,14726,381973,367247,161624,33026,128598,95572,168131,68692,99439,30747,245451,24081,221370,197289,179925,0,179925,179925,104088,0,104088,104088,298327,44821,253506,208685,407764,44433,363331,318898,123211,102,123109,123007,90004,177,89827,89650,1351814,68514,1283300,1214786,7082149,44098,7038051,6993953,16937385,52052,16885333,16833281,14484690,7135565,7349125,213560,7190304,1746027,5444277,3698250,23750100,1343489,22406611,21063122,57832633,1096597,56736036,55639439,18718233,1276212,17442021,16165809,20231570,721598,19509972,18788374,53663131,150825,53512306,53361481,38386142,85497,38300645,38215148,4080728,69907,4010821,3940914,2286099,29494,2256605,2227111,345623,56218,289405,233187,11770,0,11770,11770
